url,final_url,status,redirect_chain,title,meta_description,canonical,robots,h1_text,h1_count,jsonld_types,og_url,og_title,og_description
/,/,200,,1% Commission Realtor Columbus OH | TD Realty Ohio,Central Ohio real estate with 1-2% listing commission and free pre-listing inspection. First-time buyers get 1% cash back. Full-service representation.,https://tdrealtyohio.com/,,Keep More When You Sell. Save More When You Buy.,1,RealEstateAgent,https://tdrealtyohio.com/,TD Realty Ohio | 1% Commission Realtor Columbus OH,"Sell your Columbus home for 1% commission. Full-service real estate, not discount service."
/1-percent-commission.html,/1-percent-commission.html,200,,1% Commission Realtor Columbus Ohio | TD Realty,"Sell your Columbus home for just 1% listing commission. Full MLS exposure, professional photos, and expert negotiation. Save thousands vs traditional 3% agents.",https://tdrealtyohio.com/1-percent-commission.html,,Sell Your Central Ohio Home for 1% Commission,1,"BreadcrumbList, FAQPage",https://tdrealtyohio.com/1-percent-commission.html,1% Commission Realtor Columbus Ohio | TD Realty,Sell your Columbus home for just 1% listing commission. Save thousands vs traditional 3% agents.
/about.html,/about.html,200,,About TD Realty Ohio | Central Ohio Brokerage,"TD Realty Ohio is a Central Ohio brokerage offering 1-2% listing commissions, 1% buyer cashback, and 100%/90% agent splits. Serving Columbus metro since 2017.",https://tdrealtyohio.com/about.html,,About,1,BreadcrumbList,https://tdrealtyohio.com/about.html,About TD Realty Ohio | Central Ohio Brokerage,"Central Ohio brokerage offering lower commissions for sellers, cashback for buyers, and better splits for agents."
/affordability.html,/affordability.html,200,,Home Affordability Calculator | TD Realty Ohio,"Calculate how much home you can afford based on your income, debts, and down payment. Free affordability calculator from TD Realty Ohio.",https://tdrealtyohio.com/affordability.html,,How Much Home Can You Afford?,1,FAQPage,https://tdrealtyohio.com/affordability.html,How Much Home Can You Afford? | TD Realty Ohio,Get a realistic estimate based on your income and debts.
/agents.html,/agents.html,200,,100% Commission Real Estate Columbus | TD Realty Ohio,"Keep 100% on listings, 90% on buyer sides. No desk fees, franchise fees, or monthly minimums. Join TD Realty Ohio in Central Ohio.",https://tdrealtyohio.com/agents.html,,Stop Giving Away Your Commission,1,FAQPage,https://tdrealtyohio.com/agents.html,100% Commission Real Estate | TD Realty Ohio,Keep 100% on listings. 90% on buyer sides. No desk fees. No franchise fees. No monthly minimums.
/areas/,/areas/,200,,Central Ohio Communities | TD Realty Ohio,"Explore Central Ohio communities served by TD Realty Ohio. Market data, school info, and local resources for Columbus, Westerville, Dublin, Powell, and more.",https://tdrealtyohio.com/areas/,,Central Ohio Communities,1,BreadcrumbList,https://tdrealtyohio.com/areas/,Central Ohio Communities | TD Realty Ohio,"Explore Central Ohio communities. Market data, school info, and local resources."
/blog/,/blog/,200,,Real Estate Blog | TD Realty Ohio,"Real estate advice for Columbus homebuyers and sellers. Low commission listings, pre-listing inspections, and Central Ohio market insights.",https://tdrealtyohio.com/blog/,,Real Estate Blog,1,Blog,https://tdrealtyohio.com/blog/,Real Estate Blog | TD Realty Ohio,"Expert real estate advice for Columbus, Ohio homebuyers and sellers."
/blog/1-percent-vs-3-percent-commission-comparison/,/blog/1-percent-vs-3-percent-commission-comparison/,200,,1% vs 3% Commission: What's the Difference? | TD Realty Ohio,"Comparing 1% vs 3% realtor commission: what services you get, myths debunked, and when each option makes sense for Columbus home sellers.",https://tdrealtyohio.com/blog/1-percent-vs-3-percent-commission-comparison/,,1% vs 3% Commission: What's the Real Difference?,1,"Article, FAQPage",https://tdrealtyohio.com/blog/1-percent-vs-3-percent-commission-comparison/,1% vs 3% Commission: What's the Real Difference?,Comparing services at different commission levels and debunking myths about discount real estate agents.
/blog/central-ohio-housing-market-2026/,/blog/central-ohio-housing-market-2026/,200,,Central Ohio Housing Market Update: Jan 2026 | TD Realty,"Columbus housing market 2026: current trends, neighborhood insights, and tips for buyers and sellers in Central Ohio's stable, growing real estate market.",https://tdrealtyohio.com/blog/central-ohio-housing-market-2026/,,Central Ohio Housing Market Update: January 2026,1,"Article, FAQPage",https://tdrealtyohio.com/blog/central-ohio-housing-market-2026/,Central Ohio Housing Market Update: January 2026,Current trends and insights for buyers and sellers in the Columbus-area housing market.
/blog/first-time-homebuyer-cash-back/,/blog/first-time-homebuyer-cash-back/,200,,First-Time Homebuyers: Get 1% Cash Back | TD Realty Ohio,"First-time home buyers in Columbus, Ohio can receive 1% cash back at closing. Learn who qualifies and how to use your rebate for closing costs or furniture.",https://tdrealtyohio.com/blog/first-time-homebuyer-cash-back/,,First-Time Homebuyers: Get 1% Cash Back at Closing,1,"Article, FAQPage",https://tdrealtyohio.com/blog/first-time-homebuyer-cash-back/,First-Time Homebuyers: Get 1% Cash Back at Closing,First-time buyers in Columbus can get 1% of the purchase price back at closing. Learn who qualifies and how the program works.
